DEPARTAMENTO,Municipio ,ID Estación,Estación,LONGITUD,LATITUD,Elevación,AÑO,EST,ENT,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOST,SEPTI,OCTUB,NOVIE,DICIE,VR ANUAL
ANTIOQUIA,Sonsón,23050100,San Miguel,-74.430000000000007,5.4299999999999997,160,2005,1,1,209.9,54.5,,374.6,273.8,179.9,250.5,172.0,235.8,408.1,263.4,204.3,2800.3
ANTIOQUIA,Sonsón,23050100,San Miguel,-74.430000000000007,5.4299999999999997,160,2006,1,1,269.4,94.8,373.0,365.2,256.1,173.7,138.8,203.8,173.2,404.0,331.8,310.6,3094.4
ANTIOQUIA,Sonsón,23050100,San Miguel,-74.430000000000007,5.4299999999999997,160,2007,1,1,201.7,.0,389.0,366.3,475.0,60.9,186.5,487.2,203.2,418.1,238.2,144.3,3170.4
ANTIOQUIA,Sonsón,23050100,San Miguel,-74.430000000000007,5.4299999999999997,160,2008,1,1,36.5,336.0,189.4,359.4,345.1,189.0,235.7,404.9,248.8,364.0,340.2,173.8,3222.8
ANTIOQUIA,Sonsón,23050100,San Miguel,-74.430000000000007,5.4299999999999997,160,2009,1,1,97.7,223.6,179.8,197.1,198.7,137.3,78.9,253.8,134.8,592.4,283.9,279.9,2657.9
ANTIOQUIA,Sonsón,23050100,San Miguel,-74.430000000000007,5.4299999999999997,160,2010,1,1,54.1,28.4,180.3,424.9,307.0,201.8,242.6,237.3,467.3,380.7,235.3,233.5,2993.2
ANTIOQUIA,Sonsón,23050100,San Miguel,-74.430000000000007,5.4299999999999997,160,2011,1,1,18.0,123.6,410.5,652.4,166.7,119.2,117.0,233.5,207.1,428.3,345.7,189.7,3011.7
ANTIOQUIA,Sonsón,23050100,San Miguel,-74.430000000000007,5.4299999999999997,160,2012,1,1,123.2,95.4,447.9,397.2,210.8,90.7,79.0,185.3,162.8,336.3,215.7,125.2,2469.5
ANTIOQUIA,Sonsón,23050100,San Miguel,-74.430000000000007,5.4299999999999997,160,2013,1,1,3.7,228.3,400.9,268.2,428.0,71.6,85.2,177.6,,,,,1663.5
ANTIOQUIA,Sonsón,23050100,San Miguel,-74.430000000000007,5.4299999999999997,,MEDIOS,,,100.2,132.9,232.7,333.8,315.7,160.0,150.8,202.5,254.1,390.9,274.8,162.5,2710.9
ANTIOQUIA,Sonsón,23050100,San Miguel,-74.430000000000007,5.4299999999999997,,MAXIMOS,,,269.4,336.0,473.8,832.0,602.7,314.5,299.1,487.2,483.2,680.9,476.0,342.0,832.0
ANTIOQUIA,Sonsón,23050100,San Miguel,-74.430000000000007,5.4299999999999997,,MINIMOS,,,3.7,0.0,78.3,45.4,126.3,23.8,31.1,11.3,129.0,228.4,63.8,33.0,0.0
